País,Descrição,Idioma
Rússia,"A Day in the Life of Ivan Denisovich, by Alexander Solzhenitsyn",Russo
Rússia,"Cancer Ward, by Alexander Solzhenitsyn",Russo
Rússia,"Slynx, by Tatyana Tolstaya",Russo
Rússia,"War and Peace, by Leo Tolstoy",Russo
Rússia,"The Cossacks and Other Stories, by Leo Tolstoy",Russo
Rússia,"Anna Karenina, by Leo Tolstoy",Russo
Rússia,"Fathers and Sons, by Ivan Turgenev",Russo
Rússia,"Medea and Her Children, by Lyudmila Ulitskaya",Russo
Rússia,"We, by Zamyatin",Russo
Senegal,"Une si longue lettre, by Mariama Bâ",Francês
Senegal,"Murambi: The Book of Bones, by Boubacar Boris Diop",Francês
Senegal,"Ambiguous Adventure, by Cheikh Hamidou Kane",Francês
Senegal,"God's Bits of Wood, by Ousmane Sembène",Francês
Sérvia,"A Tomb for Boris Davidovich, by Danilo Kiš",Servo-croata
Sérvia,"The Encyclopedia of the Dead, by Danilo Kiš",Servo-croata
Sérvia,"Dictionary of the Khazars, by Milorad Pavić",Servo-croata
Sérvia,"The Time of Miracles, by Borislav Pekić",Servo-croata
Sérvia,"Death and the Dervish, by Meša Selimović",Servo-croata
Sierra Leone,"A Long Way Gone: Memoirs of a Boy Soldier, by Ishmael Beah",Inglês
Somália,"From a Crooked Rib, by Nuruddin Farah",Árabe
Sudão,"Season of Migration to the North, by Tayeb Salih",Árabe
Sudão,"The Wedding of Zein and other Stories, by Tayeb Salih",Árabe
Suécia,"The Long Ships, by Frans G Bengtsson",Sueco
Suécia,"A Moth to a Flame (A Burnt Child), by Stig Dagerman",Sueco
Suécia,"Barabbas, by Pär Lagerkvist",Sueco
Suécia,"The Dwarf, by Pär Lagerkvist",Sueco
Suécia,"Gösta Berling’s Saga, by Selma Lagerlöf",Sueco
Suécia,"The Emigrants, by Vilhelm Moberg",Sueco
Suécia,"Doctor Glas, by Hjalmar Söderberg",Sueco
Suécia,"The Red Room, by August Strindberg",Sueco
Suíça,"Her Lover, by Albert Cohen",Francês
Suíça,"Homo Faber, by Max Frisch",Alemão
Suíça,"I'm Not Stiller, by Max Frisch",Alemão
Suíça,"A Village Romeo and Juliet, by Gottfried Keller",Alemão
Suíça,"Jakob von Gunten, by Robert Walser",Alemão
Suíça,"The Tanners, by Robert Walser",Alemão
Taiwan,"Notes of a Crocodile, by Qiu Miaojin",Mandarin
Tanzânia,"Paradise, by Abdulrazak Gurnah",Inglês
Tchequia,"War with the Newts, by Karel Capek",Tcheco
Tchequia,"Money from Hitler, by Radka Denemarková",Tcheco
Tchequia,"The Good Soldier Švejk, by Jaroslav Hašek",Tcheco
Tchequia,"Closely Watched Trains, by Bohumil Hrabal",Tcheco
Tchequia,"Too Loud a Solitude, by Bohumil Hrabal",Tcheco
Tchequia,"The Castle, by Franz Kafka",Alemão
Tchequia,"The Process, by Franz Kafka",Alemão
Tchequia,"Love and Garbage, by Ivan Klima",Tcheco
Tchequia,"The Unbearable Lightness of Being, by Milan Kundera",Tcheco
Tchequia,"Lovely Green Eyes, by Arnošt Lustig",Tcheco
Tchequia,"Engineer of Human Souls, by Josef Škvorecký",Tcheco
Tchequia,"The Cowards, by Josef Škvorecký",Tcheco
Tchequia,"Summer of Caprice, by Vladislav Vančura",Tcheco
Trinidad,"A Bend in the River, by V S Naipaul",Inglês
Trinidad,"A Hose for Mr Biswas, by V S Naipaul",Inglês
Trinidad,"The Lonely Londoners, by Samuel Selvon",Inglês
Turquia,"Madonna in a Fur Coat, by Sabahattin Ali",Turco
Turquia,"The Book of Dede Korkut, by Anonymous",Turco
Turquia,"The Disconnected, by Oguz Atay",Turco
Turquia,"Motherland Hotel, by Yusuf Atilgan",Turco
Turquia,"The Alexiad, by Anna Comenna",Turco
Turquia,"Memed, My Hawk, by Yaşar Kemal",Turco
Turquia,"My Name is Red, by Orhan Pamuk",Turco
Turquia,"Snow, by Orhan Pamuk",Turco
Turquia,"Dawn, by Svgi Soysal",Turco
Turquia,"A Mind at Peace, by Ahmet Hamdi Tanpinar",Turco
Turquia,"The Time Regulation Institute, by Ahmet Hamdi Tanpinar",Turco
Turquia,"Dear Shameless Death, by Latife Tekin",Turco
Turquia,"Shadowless, by Hasan Ali Toptas",Turco
Ucrânia,"Death and the Penguin, by Andrei Kurkov",Russo
Uganda,"Abyssinian Chronicles, by Moses Isegawa",Inglês
Uruguai,"The Truce, by Mario Benedetti",Espanhol
Uruguai,"Volavérunt, by Atonio Larreta",Espanhol
Uruguai,"La Vida Breve, by Juan Carlos Onetti",Espanhol
Uruguai,"The Shipyard, by Juan Carlos Onetti",Espanhol
Uzbequistão,"The Railway, by Hamid Ismailov",Russo
Venezuela,"Doña Barbara, by Romulo Gallegos",Espanhol
Venezuela,"Casas Muertas, by Miguel Otero Silva",Espanhol
Vietnam,"The Song of Kieu, by Nguyen Du",Vietnamês
Vietnam,"Novel without a Name, by Duong Thu Huong",Vietnamês
Vietnam,"The Sorrow of War, by Bao Ninh",Vietnamês
Zimbábue,"Nervous Conditions, by Tsitsi Dangarembga",Inglês
Zimbábue,"The House of Hunger, by Dambudzo Marechera",Inglês
